ResponseId,Age,EdLevel,Country
1071,35-44 years old,Secondary School,Germany
1072,45-54 years old,Some College,Russia
1073,55-64 years old,Master,Germany
1075,35-44 years old,Some College,United States
1080,25-34 years old,Bachelor,Czech Republic
1083,25-34 years old,Master,Slovakia
1084,25-34 years old,Bachelor,Switzerland
1087,Prefer not to say,Bachelor,Israel
1091,55-64 years old,Master,Israel
1092,35-44 years old,Master,El Salvador
1093,25-34 years old,Bachelor,Hungary
1095,25-34 years old,Bachelor,United States
1096,25-34 years old,Master,Ukraine
1101,35-44 years old,Doctorate,Italy
1109,18-24 years old,Bachelor,Netherlands
1111,45-54 years old,Bachelor,Turkey
1113,45-54 years old,Bachelor,Ukraine
1115,18-24 years old,Other,Switzerland
1116,18-24 years old,Bachelor,Israel
1118,25-34 years old,Master,United States
1121,18-24 years old,Secondary School,Latvia
1123,35-44 years old,Some College,Argentina
1124,25-34 years old,Bachelor,Brazil
1125,35-44 years old,Bachelor,United Kingdom
1126,25-34 years old,Bachelor,India
1128,18-24 years old,Bachelor,Peru
1129,25-34 years old,Some College,United States
1134,35-44 years old,Other,France
1135,25-34 years old,Some College,Germany
1140,45-54 years old,Some College,United Kingdom
1141,25-34 years old,Master,Poland
1142,18-24 years old,Bachelor,United States
1145,25-34 years old,Bachelor,United States
1148,45-54 years old,Some College,Italy
1151,25-34 years old,Master,Brazil
1152,35-44 years old,Some College,United States
1157,18-24 years old,Master,Algeria
1159,18-24 years old,Secondary School,Italy
1164,35-44 years old,Secondary School,Sweden
1168,25-34 years old,Master,Italy
1171,45-54 years old,Bachelor,Canada
1172,25-34 years old,Bachelor,Venezuela
1176,35-44 years old,Master,United States
1177,25-34 years old,Bachelor,United States
1178,55-64 years old,Master,United States
1179,18-24 years old,Some College,United States
1180,18-24 years old,Master,United States
1181,55-64 years old,Bachelor,United States
1182,35-44 years old,Bachelor,United States
1185,25-34 years old,Bachelor,United States
1194,25-34 years old,Bachelor,United States
1207,45-54 years old,Bachelor,United States
1212,35-44 years old,Bachelor,Malaysia
1214,25-34 years old,Bachelor,Finland
1216,25-34 years old,Associate,United States
1219,35-44 years old,Bachelor,United States
1220,55-64 years old,Some College,United States
1222,35-44 years old,Bachelor,United States
1223,18-24 years old,Some College,United States
1224,25-34 years old,Bachelor,Zimbabwe
1225,25-34 years old,Bachelor,United States
1227,25-34 years old,Bachelor,Greece
1228,18-24 years old,Bachelor,Georgia
1231,25-34 years old,Bachelor,Brazil
1232,35-44 years old,Master,Belgium
1235,25-34 years old,Bachelor,United States
1238,35-44 years old,Bachelor,Canada
1240,25-34 years old,Master,Slovakia
1244,55-64 years old,Secondary School,Argentina
1249,25-34 years old,Bachelor,Mexico
1250,25-34 years old,Bachelor,United States
1251,35-44 years old,Bachelor,Czech Republic
1252,35-44 years old,Bachelor,Belgium
1259,35-44 years old,Bachelor,Bulgaria
1262,35-44 years old,Bachelor,Germany
1264,35-44 years old,Bachelor,United States
1267,25-34 years old,Bachelor,Malta
1278,45-54 years old,Master,India
1283,55-64 years old,Bachelor,United Kingdom
1285,18-24 years old,Bachelor,United States
1287,35-44 years old,Bachelor,Romania
1288,25-34 years old,Secondary School,Germany
1290,55-64 years old,Bachelor,United States
1296,55-64 years old,Bachelor,United Kingdom
1297,35-44 years old,Master,Germany
1299,18-24 years old,Some College,Germany
1300,18-24 years old,Some College,Germany
1309,25-34 years old,Doctorate,United States
1316,25-34 years old,Bachelor,Poland
1319,45-54 years old,Master,United States
1323,35-44 years old,Bachelor,Russia
1330,35-44 years old,Associate,Brazil
1331,18-24 years old,Bachelor,United States
1335,35-44 years old,Doctorate,Uruguay
1336,35-44 years old,Bachelor,India
1339,25-34 years old,Bachelor,United Kingdom
1342,45-54 years old,Master,Denmark
1343,25-34 years old,Bachelor,Belgium
1345,25-34 years old,Bachelor,Nigeria
1346,35-44 years old,Bachelor,United States
1349,25-34 years old,Bachelor,United States
1350,35-44 years old,Bachelor,Germany
1352,25-34 years old,Secondary School,Israel
1353,45-54 years old,Bachelor,United States
1355,45-54 years old,Master,Netherlands
1356,35-44 years old,Master,Lithuania
1357,25-34 years old,Master,Bulgaria
1361,35-44 years old,Bachelor,Colombia
1365,35-44 years old,Secondary School,Germany
1367,35-44 years old,Master,Spain
1370,35-44 years old,Master,United States
1373,25-34 years old,Bachelor,Czech Republic
1376,25-34 years old,Some College,United Kingdom
1380,25-34 years old,Master,France
1385,35-44 years old,Doctorate,United States
1386,18-24 years old,Some College,Ukraine
1388,45-54 years old,Doctorate,Spain
1390,35-44 years old,Bachelor,Germany
1391,35-44 years old,Bachelor,Germany
1399,25-34 years old,Associate,Portugal
1403,25-34 years old,Master,Ukraine
1404,18-24 years old,Associate,Egypt
1408,35-44 years old,Bachelor,United Kingdom
1410,35-44 years old,Some College,Italy
1413,25-34 years old,Bachelor,India
1414,35-44 years old,Master,Spain
1422,25-34 years old,Bachelor,United States
1425,55-64 years old,Master,United States
1428,55-64 years old,Bachelor,United States
1442,18-24 years old,Secondary School,Switzerland
1444,35-44 years old,Master,France
1448,25-34 years old,Bachelor,Poland
1452,35-44 years old,Master,Germany
1453,45-54 years old,Bachelor,United States
1463,25-34 years old,Bachelor,Mexico
1465,18-24 years old,Bachelor,India
1471,18-24 years old,Secondary School,Russia
1472,25-34 years old,Primary School,Turkey
1475,35-44 years old,Bachelor,Ireland
1476,25-34 years old,Bachelor,United States
1478,25-34 years old,Master,Germany
1479,35-44 years old,Master,Poland
1481,35-44 years old,Master,Austria
1483,18-24 years old,Some College,Albania
1487,45-54 years old,Bachelor,United States
1489,25-34 years old,Bachelor,United States
1490,25-34 years old,Bachelor,United States
1493,45-54 years old,Doctorate,Ukraine
1495,25-34 years old,Some College,United States
1496,25-34 years old,Bachelor,India
1503,35-44 years old,Bachelor,United States
1507,35-44 years old,Master,United States
1510,18-24 years old,Bachelor,Turkey
1513,35-44 years old,Bachelor,Jordan
1516,25-34 years old,Master,Brazil
1518,25-34 years old,Some College,United States
1522,35-44 years old,Master,Germany
1523,18-24 years old,Bachelor,Egypt
1527,25-34 years old,Master,India
1529,25-34 years old,Master,Ukraine
1531,18-24 years old,Bachelor,Pakistan
1533,35-44 years old,Secondary School,Germany
1535,25-34 years old,Bachelor,Netherlands
1546,35-44 years old,Doctorate,United States
1548,18-24 years old,Bachelor,United States
1549,18-24 years old,Some College,United States
1557,35-44 years old,Secondary School,Israel
1560,18-24 years old,Other,Ukraine
1562,45-54 years old,Some College,Germany
1563,18-24 years old,Secondary School,Italy
1566,25-34 years old,Bachelor,Afghanistan
1572,25-34 years old,Bachelor,Brazil
1573,18-24 years old,Some College,Canada
1574,35-44 years old,Bachelor,Germany
1577,25-34 years old,Bachelor,United States
1580,35-44 years old,Some College,Brazil
1581,18-24 years old,Master,Canada
1582,25-34 years old,Bachelor,United States
1591,35-44 years old,Bachelor,Mexico
1594,35-44 years old,Some College,Argentina
1595,Under 18 years old,Secondary School,United States
1598,35-44 years old,Bachelor,Slovenia
1607,25-34 years old,Bachelor,United Kingdom
1615,18-24 years old,Bachelor,Pakistan
1627,25-34 years old,Some College,Peru
1628,35-44 years old,Bachelor,United States
1629,45-54 years old,Bachelor,Slovenia
1636,25-34 years old,Master,Austria
1639,Prefer not to say,Bachelor,United States
1641,25-34 years old,Bachelor,Netherlands
1650,45-54 years old,Bachelor,United States
1653,25-34 years old,Bachelor,Palestine
1655,25-34 years old,Bachelor,Ecuador
1656,25-34 years old,Bachelor,Germany
1659,25-34 years old,Bachelor,Bangladesh
1660,25-34 years old,Bachelor,Turkey
1664,25-34 years old,Master,Czech Republic
1669,25-34 years old,Bachelor,United States
1670,25-34 years old,Master,Spain
1672,25-34 years old,Bachelor,United States
1678,25-34 years old,Some College,Paraguay
1680,18-24 years old,Bachelor,Ukraine
1685,18-24 years old,Bachelor,India
1686,55-64 years old,Some College,Italy
1690,25-34 years old,Associate,Paraguay
1691,18-24 years old,Bachelor,Italy
1695,25-34 years old,Master,Germany
1699,25-34 years old,Bachelor,Brazil
1701,65 years or older,Some College,Canada
1703,25-34 years old,Master,Lithuania
1704,45-54 years old,Master,Slovakia
1705,25-34 years old,Bachelor,Finland
1706,35-44 years old,Bachelor,Canada
1710,35-44 years old,Bachelor,United States
1714,18-24 years old,Bachelor,Poland
1716,35-44 years old,Some College,Brazil
1718,25-34 years old,Master,France
1727,25-34 years old,Bachelor,Germany
1728,35-44 years old,Bachelor,United States
1729,Under 18 years old,Secondary School,United States
1734,25-34 years old,Master,Ukraine
1735,55-64 years old,Bachelor,United Kingdom
1736,25-34 years old,Master,Ethiopia
1742,45-54 years old,Associate,United States
1744,45-54 years old,Bachelor,New Zealand
1750,45-54 years old,Master,Denmark
1758,25-34 years old,Bachelor,Ghana
1768,35-44 years old,Bachelor,Netherlands
1772,35-44 years old,Bachelor,Greece
1773,45-54 years old,Doctorate,Portugal
1774,45-54 years old,Master,United States
1775,35-44 years old,Bachelor,United States
1788,35-44 years old,Master,France
1793,25-34 years old,Master,Belgium
1794,45-54 years old,Bachelor,Guatemala
1799,45-54 years old,Bachelor,United States
1800,45-54 years old,Doctorate,Canada
1801,25-34 years old,Secondary School,Brazil
1803,35-44 years old,Master,Germany
1805,55-64 years old,Bachelor,United States
1806,35-44 years old,Secondary School,France
1808,25-34 years old,Secondary School,Slovakia
1809,25-34 years old,Bachelor,Ukraine
1812,25-34 years old,Bachelor,Brazil
1814,25-34 years old,Bachelor,Brazil
1817,35-44 years old,Bachelor,United States
1818,25-34 years old,Bachelor,Brazil
1831,25-34 years old,Bachelor,Italy
1832,35-44 years old,Master,France
1834,45-54 years old,Master,Belgium
1837,45-54 years old,Doctorate,Italy
1841,35-44 years old,Master,Ukraine
1843,55-64 years old,Bachelor,United Kingdom
1844,35-44 years old,Bachelor,United States
1848,45-54 years old,Some College,United Kingdom
1850,35-44 years old,Secondary School,Germany
1851,35-44 years old,Master,Brazil
1854,45-54 years old,Doctorate,Germany
1856,25-34 years old,Associate,Switzerland
1859,18-24 years old,Secondary School,Netherlands
1866,25-34 years old,Associate,Denmark
1869,25-34 years old,Bachelor,United States
1870,35-44 years old,Some College,Portugal
1876,35-44 years old,Bachelor,Germany
1880,35-44 years old,Master,Bosnia and Herzegovina
1897,35-44 years old,Master,Portugal
1899,35-44 years old,Master,Ukraine
1901,35-44 years old,Bachelor,United States
1902,25-34 years old,Master,Netherlands
1903,35-44 years old,Bachelor,United States
1905,25-34 years old,Master,Germany
1907,45-54 years old,Master,Denmark
1908,25-34 years old,Bachelor,United States
1910,25-34 years old,Master,Germany
1912,45-54 years old,Master,Czech Republic
1916,35-44 years old,Bachelor,El Salvador
1921,35-44 years old,Bachelor,Israel
1923,35-44 years old,Master,United States
1925,18-24 years old,Master,Austria
1926,25-34 years old,Master,Poland
1928,45-54 years old,Master,Poland
1929,25-34 years old,Some College,Norway
1931,45-54 years old,Bachelor,United Kingdom
1934,35-44 years old,Secondary School,United Kingdom
1938,35-44 years old,Master,Sweden
1940,45-54 years old,Bachelor,United States
1943,18-24 years old,Some College,Romania
1944,35-44 years old,Bachelor,France
1946,25-34 years old,Master,Brazil
1951,55-64 years old,Master,United States
1955,25-34 years old,Some College,Ukraine
1957,25-34 years old,Master,United Kingdom
1958,25-34 years old,Bachelor,Poland
1959,18-24 years old,Secondary School,Germany
1962,25-34 years old,Bachelor,Ukraine
1963,25-34 years old,Secondary School,Canada
1964,35-44 years old,Bachelor,United States
1971,18-24 years old,Bachelor,United States
1972,45-54 years old,Some College,Argentina
1974,35-44 years old,Master,United States
1975,25-34 years old,Master,United States
1976,45-54 years old,Some College,Costa Rica
1978,25-34 years old,Bachelor,Japan
1979,35-44 years old,Master,Greece
1980,45-54 years old,Master,United Kingdom
1985,25-34 years old,Master,Sweden
1986,45-54 years old,Master,United Kingdom
1989,18-24 years old,Some College,Australia
1991,35-44 years old,Some College,Argentina
1993,35-44 years old,Associate,Australia
1994,45-54 years old,Master,Greece
1996,18-24 years old,Bachelor,Ukraine
2013,55-64 years old,Associate,United States
2015,45-54 years old,Associate,Canada
2016,18-24 years old,Some College,Greece
2017,18-24 years old,Bachelor,Kenya
2019,25-34 years old,Bachelor,United States
2022,18-24 years old,Bachelor,Ireland
2031,25-34 years old,Bachelor,Switzerland
2032,45-54 years old,Bachelor,United Kingdom
2034,45-54 years old,Some College,Argentina
2036,35-44 years old,Bachelor,New Zealand
2038,35-44 years old,Master,Netherlands
2042,25-34 years old,Bachelor,Ukraine
2045,35-44 years old,Secondary School,Israel
2049,35-44 years old,Bachelor,Germany
2054,45-54 years old,Some College,Sweden
2057,45-54 years old,Bachelor,United States
2059,25-34 years old,Some College,France
2060,35-44 years old,Bachelor,United Kingdom
2062,35-44 years old,Bachelor,Israel
2071,18-24 years old,Bachelor,Czech Republic
2081,55-64 years old,Bachelor,United Kingdom
2082,35-44 years old,Bachelor,United States
2083,25-34 years old,Bachelor,Egypt
2088,35-44 years old,Bachelor,United States
2089,25-34 years old,Bachelor,Germany
2093,35-44 years old,Associate,Brazil
2094,45-54 years old,Bachelor,United States
2095,25-34 years old,Bachelor,Ireland
2096,45-54 years old,Some College,United States
2099,35-44 years old,Bachelor,Canada
2100,45-54 years old,Some College,United States
2103,25-34 years old,Associate,United States
2105,35-44 years old,Bachelor,Germany
2110,18-24 years old,Some College,Armenia
2113,35-44 years old,Bachelor,United Kingdom
2116,Under 18 years old,Secondary School,United States
2117,18-24 years old,Secondary School,United States
2118,35-44 years old,Master,Nigeria
2120,35-44 years old,Some College,Russia
2122,35-44 years old,Master,France
2123,35-44 years old,Master,Poland
2128,35-44 years old,Bachelor,Australia
2139,45-54 years old,Bachelor,United States
2140,35-44 years old,Secondary School,United States
2141,35-44 years old,Bachelor,United States
2142,35-44 years old,Bachelor,Poland
2147,25-34 years old,Some College,Canada
2153,35-44 years old,Bachelor,United States
2154,25-34 years old,Master,Poland
2156,18-24 years old,Some College,Estonia
2158,35-44 years old,Bachelor,United States
2159,18-24 years old,Secondary School,Germany
2161,18-24 years old,Some College,Bosnia and Herzegovina
2164,25-34 years old,Bachelor,Kenya
2165,25-34 years old,Bachelor,Nigeria
2166,25-34 years old,Bachelor,Spain
2171,25-34 years old,Secondary School,United States
2172,35-44 years old,Bachelor,United States
2173,45-54 years old,Master,United States
2175,45-54 years old,Bachelor,United States
2176,25-34 years old,Bachelor,United States
2178,35-44 years old,Master,United States
2180,35-44 years old,Doctorate,United States
2181,35-44 years old,Bachelor,United States
2182,25-34 years old,Bachelor,Portugal
2183,25-34 years old,Master,Germany
2187,25-34 years old,Some College,Ireland
2189,18-24 years old,Master,United States
2190,35-44 years old,Bachelor,United States
2191,25-34 years old,Bachelor,Ukraine
2193,18-24 years old,Secondary School,Czech Republic
2194,18-24 years old,Master,Germany
2196,45-54 years old,Some College,Denmark
2199,18-24 years old,Associate,Switzerland
2203,18-24 years old,Bachelor,Canada
2204,35-44 years old,Bachelor,Mexico
2213,Under 18 years old,Primary School,United States
2215,35-44 years old,Some College,Nicaragua
2219,35-44 years old,Bachelor,United Kingdom
2221,65 years or older,Master,Argentina
2222,25-34 years old,Bachelor,Mexico
2224,25-34 years old,Bachelor,United States
2226,18-24 years old,Some College,Philippines
2228,45-54 years old,Secondary School,Spain
2236,18-24 years old,Bachelor,Poland
2246,45-54 years old,Bachelor,United States
2248,25-34 years old,Some College,United States
